,goal,target,indicator,seriescode,seriesdescription,geoareacode,geoareaname,timeperiod,value,time_detail,timecoverage,upperbound,lowerbound,baseperiod,source,geoinfourl,footnote,activity,age,disability_status,migratory_status,nature,observation_status,quantile,reporting_type,sex,type_of_occupation,type_of_product,units,links
0,8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),1,World,2000,3.07,2000,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,CA,,,G,,,,PERCENT,"[{'rel': 'self', 'href': 'https://gb54f7d3e3b920d-sdg.adb.ap-sydney-1.oraclecloudapps.com/ords/indicator/goal8/AAASZCAAAAAAFIzAAA'}]"
1,8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),1,World,2001,0.80,2001,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,CA,,,G,,,,PERCENT,"[{'rel': 'self', 'href': 'https://gb54f7d3e3b920d-sdg.adb.ap-sydney-1.oraclecloudapps.com/ords/indicator/goal8/AAASZCAAAAAAFIzAAB'}]"
2,8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),1,World,2002,0.99,2002,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,CA,,,G,,,,PERCENT,"[{'rel': 'self', 'href': 'https://gb54f7d3e3b920d-sdg.adb.ap-sydney-1.oraclecloudapps.com/ords/indicator/goal8/AAASZCAAAAAAFIzAAC'}]"
3,8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),1,World,2003,1.84,2003,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,CA,,,G,,,,PERCENT,"[{'rel': 'self', 'href': 'https://gb54f7d3e3b920d-sdg.adb.ap-sydney-1.oraclecloudapps.com/ords/indicator/goal8/AAASZCAAAAAAFIzAAD'}]"
4,8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),1,World,2004,3.19,2004,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,CA,,,G,,,,PERCENT,"[{'rel': 'self', 'href': 'https://gb54f7d3e3b920d-sdg.adb.ap-sydney-1.oraclecloudapps.com/ords/indicator/goal8/AAASZCAAAAAAFIzAAE'}]"
5,8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),1,World,2005,2.78,2005,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,CA,,,G,,,,PERCENT,"[{'rel': 'self', 'href': 'https://gb54f7d3e3b920d-sdg.adb.ap-sydney-1.oraclecloudapps.com/ords/indicator/goal8/AAASZCAAAAAAFIzAAF'}]"
6,8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),1,World,2006,3.24,2006,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,CA,,,G,,,,PERCENT,"[{'rel': 'self', 'href': 'https://gb54f7d3e3b920d-sdg.adb.ap-sydney-1.oraclecloudapps.com/ords/indicator/goal8/AAASZCAAAAAAFIzAAG'}]"
7,8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),1,World,2007,3.11,2007,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,CA,,,G,,,,PERCENT,"[{'rel': 'self', 'href': 'https://gb54f7d3e3b920d-sdg.adb.ap-sydney-1.oraclecloudapps.com/ords/indicator/goal8/AAASZCAAAAAAFIzAAH'}]"
8,8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),1,World,2008,0.78,2008,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,CA,,,G,,,,PERCENT,"[{'rel': 'self', 'href': 'https://gb54f7d3e3b920d-sdg.adb.ap-sydney-1.oraclecloudapps.com/ords/indicator/goal8/AAASZCAAAAAAFIzAAI'}]"
9,8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),1,World,2009,-2.47,2009,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,CA,,,G,,,,PERCENT,"[{'rel': 'self', 'href': 'https://gb54f7d3e3b920d-sdg.adb.ap-sydney-1.oraclecloudapps.com/ords/indicator/goal8/AAASZCAAAAAAFIzAAJ'}]"
10,8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),1,World,2010,3.18,2010,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,CA,,,G,,,,PERCENT,"[{'rel': 'self', 'href': 'https://gb54f7d3e3b920d-sdg.adb.ap-sydney-1.oraclecloudapps.com/ords/indicator/goal8/AAASZCAAAAAAFIzAAK'}]"
11,8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),1,World,2011,2.04,2011,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,CA,,,G,,,,PERCENT,"[{'rel': 'self', 'href': 'https://gb54f7d3e3b920d-sdg.adb.ap-sydney-1.oraclecloudapps.com/ords/indicator/goal8/AAASZCAAAAAAFIzAAL'}]"
12,8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),1,World,2012,1.53,2012,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,CA,,,G,,,,PERCENT,"[{'rel': 'self', 'href': 'https://gb54f7d3e3b920d-sdg.adb.ap-sydney-1.oraclecloudapps.com/ords/indicator/goal8/AAASZCAAAAAAFIzAAM'}]"
13,8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),1,World,2013,1.54,2013,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,,,,,CA,,,G,,,,PERCENT,"[{'rel': 'self', 'href': 'https://gb54f7d3e3b920d-sdg.adb.ap-sydney-1.oraclecloudapps.com/ords/indicator/goal8/AAASZCAAAAAAFIzAAN'}]"
