ref_area,indicator,source,classif1,time,obs_value,obs_status
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_01,2004,0.0784,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_02,2004,0.0978,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_03,2004,0.1771,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_04,2004,0.7006,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_05,2004,1.8446,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_06,2004,3.394,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_07,2004,5.458,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_08,2004,8.3627,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_09,2004,14.2955,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_10,2004,65.5913,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_01,2005,0.0835,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_02,2005,0.1003,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_03,2005,0.1936,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_04,2005,0.7326,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_05,2005,1.8788,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_06,2005,3.431,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_07,2005,5.4957,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_08,2005,8.4019,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_09,2005,14.3245,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_10,2005,65.3581,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_01,2006,0.089,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_02,2006,0.1048,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_03,2006,0.2106,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_04,2006,0.7614,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_05,2006,1.9086,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_06,2006,3.4633,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_07,2006,5.5257,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_08,2006,8.4325,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_09,2006,14.3438,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_10,2006,65.1603,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_01,2007,0.0957,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_02,2007,0.1122,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_03,2007,0.233,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_04,2007,0.7984,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_05,2007,1.9479,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_06,2007,3.5057,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_07,2007,5.5682,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_08,2007,8.4763,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_09,2007,14.375,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_10,2007,64.8876,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_01,2008,0.1019,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_02,2008,0.1197,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_03,2008,0.2522,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_04,2008,0.8272,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_05,2008,1.9771,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_06,2008,3.5373,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_07,2008,5.5951,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_08,2008,8.5033,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_09,2008,14.3892,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_10,2008,64.6969,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_01,2009,0.1108,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_02,2009,0.1319,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_03,2009,0.2805,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_04,2009,0.8704,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_05,2009,2.0231,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_06,2009,3.5868,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_07,2009,5.6458,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_08,2009,8.5556,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_09,2009,14.4271,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_10,2009,64.3678,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_01,2010,0.1186,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_02,2010,0.1455,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_03,2010,0.3057,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_04,2010,0.9052,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_05,2010,2.0591,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_06,2010,3.6257,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_07,2010,5.6817,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_08,2010,8.5919,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_09,2010,14.4491,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_10,2010,64.1176,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_01,2011,0.1263,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_02,2011,0.1608,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_03,2011,0.333,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_04,2011,0.9395,I
AFG,LAP_2LID_QTL_DT,XA:2198,QTL_DECILE_05,2011,2.0944,I
