ref_area,indicator,source,time,obs_value,obs_status
AFG,SDG_1041_NOC_RT,XA:2198,2004,46.3,I
AFG,SDG_1041_NOC_RT,XA:2198,2005,45.6,I
AFG,SDG_1041_NOC_RT,XA:2198,2006,45.8,I
AFG,SDG_1041_NOC_RT,XA:2198,2007,45.3,I
AFG,SDG_1041_NOC_RT,XA:2198,2008,45.6,I
AFG,SDG_1041_NOC_RT,XA:2198,2009,44.6,I
AFG,SDG_1041_NOC_RT,XA:2198,2010,45,I
AFG,SDG_1041_NOC_RT,XA:2198,2011,45,I
AFG,SDG_1041_NOC_RT,XA:2198,2012,44.4,I
AFG,SDG_1041_NOC_RT,XA:2198,2013,44.7,I
AFG,SDG_1041_NOC_RT,XA:2198,2014,44.8,I
AFG,SDG_1041_NOC_RT,XA:2198,2015,44.8,I
AFG,SDG_1041_NOC_RT,XA:2198,2016,44.7,I
AFG,SDG_1041_NOC_RT,XA:2198,2017,44.6,I
AGO,SDG_1041_NOC_RT,XA:2010,2004,35.6,I
AGO,SDG_1041_NOC_RT,XA:2010,2005,30.5,I
AGO,SDG_1041_NOC_RT,XA:2010,2006,31.7,I
AGO,SDG_1041_NOC_RT,XA:2010,2007,33.6,I
AGO,SDG_1041_NOC_RT,XA:2010,2008,36.1,I
AGO,SDG_1041_NOC_RT,XA:2010,2009,53.4,I
AGO,SDG_1041_NOC_RT,XA:2010,2010,45.1,I
AGO,SDG_1041_NOC_RT,XA:2010,2011,44.9,I
AGO,SDG_1041_NOC_RT,XA:2010,2012,44.5,I
AGO,SDG_1041_NOC_RT,XA:2010,2013,43.6,I
AGO,SDG_1041_NOC_RT,XA:2010,2014,42.2,I
AGO,SDG_1041_NOC_RT,XA:2010,2015,50.6,I
AGO,SDG_1041_NOC_RT,XA:2010,2016,47.3,I
AGO,SDG_1041_NOC_RT,XA:2010,2017,47.3,I
ALB,SDG_1041_NOC_RT,XA:2137,2004,53.1,I
ALB,SDG_1041_NOC_RT,XA:2137,2005,52.9,I
ALB,SDG_1041_NOC_RT,XA:2137,2006,52.7,I
ALB,SDG_1041_NOC_RT,XA:2137,2007,52.5,I
ALB,SDG_1041_NOC_RT,XA:2137,2008,53.1,I
ALB,SDG_1041_NOC_RT,XA:2137,2009,52.9,I
ALB,SDG_1041_NOC_RT,XA:2137,2010,52.5,I
ALB,SDG_1041_NOC_RT,XA:2137,2011,54,I
ALB,SDG_1041_NOC_RT,XA:2137,2012,54.8,I
ALB,SDG_1041_NOC_RT,XA:2137,2013,53.8,I
ALB,SDG_1041_NOC_RT,XA:2137,2014,53.4,I
ALB,SDG_1041_NOC_RT,XA:2137,2015,53.6,I
ALB,SDG_1041_NOC_RT,XA:2137,2016,53.3,I
ALB,SDG_1041_NOC_RT,XA:2137,2017,53.1,I
ARE,SDG_1041_NOC_RT,XA:1978,2004,23.4,I
ARE,SDG_1041_NOC_RT,XA:1978,2005,24.1,I
ARE,SDG_1041_NOC_RT,XA:1978,2006,23.4,I
ARE,SDG_1041_NOC_RT,XA:1978,2007,24.4,I
ARE,SDG_1041_NOC_RT,XA:1978,2008,24.5,I
ARE,SDG_1041_NOC_RT,XA:1978,2009,25.7,I
ARE,SDG_1041_NOC_RT,XA:1978,2010,28.2,I
ARE,SDG_1041_NOC_RT,XA:1978,2011,25.2,I
ARE,SDG_1041_NOC_RT,XA:1978,2012,25.6,I
ARE,SDG_1041_NOC_RT,XA:1978,2013,27.9,I
ARE,SDG_1041_NOC_RT,XA:1978,2014,28.8,I
ARE,SDG_1041_NOC_RT,XA:1978,2015,34.3,I
ARE,SDG_1041_NOC_RT,XA:1978,2016,36.2,I
ARE,SDG_1041_NOC_RT,XA:1978,2017,36.8,I
ARG,SDG_1041_NOC_RT,XA:1868,2004,38.7,
