"COUNTRY","Country","SEX","Sex","SERIES","Series","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2000","2000",30.3720866506504,,
"AUS","Australia","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2001","2001",29.1795660577326,,
"AUS","Australia","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2002","2002",30.6751924051229,,
"AUS","Australia","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2003","2003",31.8709590872178,,
"AUS","Australia","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2004","2004",30.26961921913,,
"AUS","Australia","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2005","2005",30.939226519337,,
"AUS","Australia","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2006","2006",33.0237358101135,,
"AUS","Australia","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2007","2007",34.0038314176245,,
"AUS","Australia","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2008","2008",32.8007518796992,,
"AUS","Australia","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2009","2009",34.3014359619272,,
"AUS","Australia","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2010","2010",31.9298245614035,,
"AUS","Australia","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2011","2011",33.5289186923722,,
"AUS","Australia","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2012","2012",33.4935897435897,,
"AUS","Australia","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2013","2013",33.831628638867,,
"AUS","Australia","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2014","2014",35.1952284205728,,
"AUS","Australia","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2015","2015",33.4831460674157,,
"AUS","Australia","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2016","2016",31.3601920624203,,
"AUS","Australia","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2017","2017",33.3549877291757,,
"AUS","Australia","W","Women","MEAN","Mean","YOUTH","Youth over Prime-age","2018","2018",33.845309928689,,
"AUS","Australia","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2000","2000",40.3069547594171,,
"AUS","Australia","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2001","2001",40.4598691478679,,
"AUS","Australia","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2002","2002",40.6076191371024,,
"AUS","Australia","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2003","2003",42.3086540959568,,
"AUS","Australia","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2004","2004",42.2069890822164,,
"AUS","Australia","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2005","2005",41.0026857654432,,
"AUS","Australia","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2006","2006",42.2948073701843,,
"AUS","Australia","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2007","2007",43.8948995363215,,
"AUS","Australia","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2008","2008",42.4698795180723,,
"AUS","Australia","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2009","2009",42.5816310767636,,
"AUS","Australia","M","Men","MEAN","Mean","YOUTH","Youth over Prime-age","2010","2010",43.4027777777778,,
