"COUNTRY","Country","SEX","Sex","AGE","Age","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","MW","All persons","1519","15 to 19","A","Annual","2001","2001","MONTH","Months","0","Units",,,4.67497315230963,,
"AUS","Australia","MW","All persons","1519","15 to 19","A","Annual","2002","2002","MONTH","Months","0","Units",,,4.42153239983158,,
"AUS","Australia","MW","All persons","1519","15 to 19","A","Annual","2003","2003","MONTH","Months","0","Units",,,4.2983749988259,,
"AUS","Australia","MW","All persons","1519","15 to 19","A","Annual","2004","2004","MONTH","Months","0","Units",,,4.04004349207914,,
"AUS","Australia","MW","All persons","1519","15 to 19","A","Annual","2005","2005","MONTH","Months","0","Units",,,3.83748287052516,,
"AUS","Australia","MW","All persons","1519","15 to 19","A","Annual","2006","2006","MONTH","Months","0","Units",,,4.08812989447575,,
"AUS","Australia","MW","All persons","1519","15 to 19","A","Annual","2007","2007","MONTH","Months","0","Units",,,3.83886108936888,,
"AUS","Australia","MW","All persons","1519","15 to 19","A","Annual","2008","2008","MONTH","Months","0","Units",,,3.61024449864188,,
"AUS","Australia","MW","All persons","1519","15 to 19","A","Annual","2009","2009","MONTH","Months","0","Units",,,4.28232881185891,,
"AUS","Australia","MW","All persons","1519","15 to 19","A","Annual","2010","2010","MONTH","Months","0","Units",,,4.4669549326725,,
"AUS","Australia","MW","All persons","1519","15 to 19","A","Annual","2011","2011","MONTH","Months","0","Units",,,4.41844162349181,,
"AUS","Australia","MW","All persons","1519","15 to 19","A","Annual","2012","2012","MONTH","Months","0","Units",,,4.7640029222997,,
"AUS","Australia","MW","All persons","1519","15 to 19","A","Annual","2013","2013","MONTH","Months","0","Units",,,4.65392406607809,,
"AUS","Australia","MW","All persons","1519","15 to 19","A","Annual","2014","2014","MONTH","Months","0","Units",,,5.3307668622446,,
"AUS","Australia","MW","All persons","1519","15 to 19","A","Annual","2015","2015","MONTH","Months","0","Units",,,5.62207164000936,,
"AUS","Australia","MW","All persons","1519","15 to 19","A","Annual","2016","2016","MONTH","Months","0","Units",,,5.17005741283082,,
"AUS","Australia","MW","All persons","1519","15 to 19","A","Annual","2017","2017","MONTH","Months","0","Units",,,5.25007175599238,,
"AUS","Australia","MW","All persons","1524","15 to 24","A","Annual","2001","2001","MONTH","Months","0","Units",,,6.19796007747859,,
"AUS","Australia","MW","All persons","1524","15 to 24","A","Annual","2002","2002","MONTH","Months","0","Units",,,5.98681092157103,,
"AUS","Australia","MW","All persons","1524","15 to 24","A","Annual","2003","2003","MONTH","Months","0","Units",,,5.6030653867225,,
"AUS","Australia","MW","All persons","1524","15 to 24","A","Annual","2004","2004","MONTH","Months","0","Units",,,5.480151850562,,
"AUS","Australia","MW","All persons","1524","15 to 24","A","Annual","2005","2005","MONTH","Months","0","Units",,,4.82217940404413,,
"AUS","Australia","MW","All persons","1524","15 to 24","A","Annual","2006","2006","MONTH","Months","0","Units",,,5.0691517360516,,
"AUS","Australia","MW","All persons","1524","15 to 24","A","Annual","2007","2007","MONTH","Months","0","Units",,,4.57341057026792,,
"AUS","Australia","MW","All persons","1524","15 to 24","A","Annual","2008","2008","MONTH","Months","0","Units",,,4.17451547480718,,
"AUS","Australia","MW","All persons","1524","15 to 24","A","Annual","2009","2009","MONTH","Months","0","Units",,,4.62690440551275,,
"AUS","Australia","MW","All persons","1524","15 to 24","A","Annual","2010","2010","MONTH","Months","0","Units",,,5.2599264650955,,
"AUS","Australia","MW","All persons","1524","15 to 24","A","Annual","2011","2011","MONTH","Months","0","Units",,,5.30701568981327,,
"AUS","Australia","MW","All persons","1524","15 to 24","A","Annual","2012","2012","MONTH","Months","0","Units",,,5.54065639065165,,
"AUS","Australia","MW","All persons","1524","15 to 24","A","Annual","2013","2013","MONTH","Months","0","Units",,,5.95568617337101,,
"AUS","Australia","MW","All persons","1524","15 to 24","A","Annual","2014","2014","MONTH","Months","0","Units",,,6.95360838456738,,
"AUS","Australia","MW","All persons","1524","15 to 24","A","Annual","2015","2015","MONTH","Months","0","Units",,,6.97273295591468,,
"AUS","Australia","MW","All persons","1524","15 to 24","A","Annual","2016","2016","MONTH","Months","0","Units",,,7.21428850978012,,
"AUS","Australia","MW","All persons","1524","15 to 24","A","Annual","2017","2017","MONTH","Months","0","Units",,,6.95925336657276,,
"AUS","Australia","MW","All persons","2024","20 to 24","A","Annual","2001","2001","MONTH","Months","0","Units",,,8.20392468838056,,
"AUS","Australia","MW","All persons","2024","20 to 24","A","Annual","2002","2002","MONTH","Months","0","Units",,,8.00501073307379,,
"AUS","Australia","MW","All persons","2024","20 to 24","A","Annual","2003","2003","MONTH","Months","0","Units",,,7.23854829348596,,
"AUS","Australia","MW","All persons","2024","20 to 24","A","Annual","2004","2004","MONTH","Months","0","Units",,,7.49789409975372,,
"AUS","Australia","MW","All persons","2024","20 to 24","A","Annual","2005","2005","MONTH","Months","0","Units",,,6.20994499322325,,
"AUS","Australia","MW","All persons","2024","20 to 24","A","Annual","2006","2006","MONTH","Months","0","Units",,,6.5912350528637,,
"AUS","Australia","MW","All persons","2024","20 to 24","A","Annual","2007","2007","MONTH","Months","0","Units",,,5.70076501805294,,
"AUS","Australia","MW","All persons","2024","20 to 24","A","Annual","2008","2008","MONTH","Months","0","Units",,,4.99520850785639,,
"AUS","Australia","MW","All persons","2024","20 to 24","A","Annual","2009","2009","MONTH","Months","0","Units",,,5.07959231666065,,
"AUS","Australia","MW","All persons","2024","20 to 24","A","Annual","2010","2010","MONTH","Months","0","Units",,,6.32249627523739,,
"AUS","Australia","MW","All persons","2024","20 to 24","A","Annual","2011","2011","MONTH","Months","0","Units",,,6.38987471768107,,
"AUS","Australia","MW","All persons","2024","20 to 24","A","Annual","2012","2012","MONTH","Months","0","Units",,,6.48513576374829,,
"AUS","Australia","MW","All persons","2024","20 to 24","A","Annual","2013","2013","MONTH","Months","0","Units",,,7.3131829669366,,
"AUS","Australia","MW","All persons","2024","20 to 24","A","Annual","2014","2014","MONTH","Months","0","Units",,,8.75224981217276,,
