"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","CPNCU","Current prices in NCU","2000","2000","AUD","Australian Dollar","0","Units",,,46286.1110811441,,
"AUS","Australia","CPNCU","Current prices in NCU","2001","2001","AUD","Australian Dollar","0","Units",,,48366.6284787643,,
"AUS","Australia","CPNCU","Current prices in NCU","2002","2002","AUD","Australian Dollar","0","Units",,,50109.1375618934,,
"AUS","Australia","CPNCU","Current prices in NCU","2003","2003","AUD","Australian Dollar","0","Units",,,51867.99993846,,
"AUS","Australia","CPNCU","Current prices in NCU","2004","2004","AUD","Australian Dollar","0","Units",,,54283.6697773947,,
"AUS","Australia","CPNCU","Current prices in NCU","2005","2005","AUD","Australian Dollar","0","Units",,,56174.4048614667,,
"AUS","Australia","CPNCU","Current prices in NCU","2006","2006","AUD","Australian Dollar","0","Units",,,58577.0291750701,,
"AUS","Australia","CPNCU","Current prices in NCU","2007","2007","AUD","Australian Dollar","0","Units",,,62067.9555733317,,
"AUS","Australia","CPNCU","Current prices in NCU","2008","2008","AUD","Australian Dollar","0","Units",,,64554.5351929293,,
"AUS","Australia","CPNCU","Current prices in NCU","2009","2009","AUD","Australian Dollar","0","Units",,,65621.7647133719,,
"AUS","Australia","CPNCU","Current prices in NCU","2010","2010","AUD","Australian Dollar","0","Units",,,69386.4967308382,,
"AUS","Australia","CPNCU","Current prices in NCU","2011","2011","AUD","Australian Dollar","0","Units",,,73301.5067593304,,
"AUS","Australia","CPNCU","Current prices in NCU","2012","2012","AUD","Australian Dollar","0","Units",,,75509.6805028669,,
"AUS","Australia","CPNCU","Current prices in NCU","2013","2013","AUD","Australian Dollar","0","Units",,,76975.3846192568,,
"AUS","Australia","CPNCU","Current prices in NCU","2014","2014","AUD","Australian Dollar","0","Units",,,79083.9563565401,,
"AUS","Australia","CPNCU","Current prices in NCU","2015","2015","AUD","Australian Dollar","0","Units",,,79613.7992447983,,
"AUS","Australia","CPNCU","Current prices in NCU","2016","2016","AUD","Australian Dollar","0","Units",,,80403.3532565907,,
"AUS","Australia","CPNCU","Current prices in NCU","2017","2017","AUD","Australian Dollar","0","Units",,,80739.6266335793,,
"AUS","Australia","CPNCU","Current prices in NCU","2018","2018","AUD","Australian Dollar","0","Units",,,81782.421625349,,
"AUS","Australia","CPNCU","Current prices in NCU","2019","2019","AUD","Australian Dollar","0","Units",,,83602.4783522886,,
"AUT","Austria","CPNCU","Current prices in NCU","2000","2000","EUR","Euro","0","Units",,,27945.3394924822,,
"AUT","Austria","CPNCU","Current prices in NCU","2001","2001","EUR","Euro","0","Units",,,28524.5057557712,,
"AUT","Austria","CPNCU","Current prices in NCU","2002","2002","EUR","Euro","0","Units",,,29264.4625104349,,
"AUT","Austria","CPNCU","Current prices in NCU","2003","2003","EUR","Euro","0","Units",,,29797.4087185644,,
"AUT","Austria","CPNCU","Current prices in NCU","2004","2004","EUR","Euro","0","Units",,,30888.5461704768,,
"AUT","Austria","CPNCU","Current prices in NCU","2005","2005","EUR","Euro","0","Units",,,31802.719718492,,
"AUT","Austria","CPNCU","Current prices in NCU","2006","2006","EUR","Euro","0","Units",,,32931.8428684807,,
"AUT","Austria","CPNCU","Current prices in NCU","2007","2007","EUR","Euro","0","Units",,,33913.0403483273,,
"AUT","Austria","CPNCU","Current prices in NCU","2008","2008","EUR","Euro","0","Units",,,35238.9427674147,,
"AUT","Austria","CPNCU","Current prices in NCU","2009","2009","EUR","Euro","0","Units",,,35976.165377079,,
"AUT","Austria","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","Units",,,36433.3843994509,,
"AUT","Austria","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","Units",,,37174.4740080079,,
"AUT","Austria","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","Units",,,38271.500920142,,
"AUT","Austria","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","Units",,,39128.6236002461,,
"AUT","Austria","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","Units",,,40070.1815996328,,
"AUT","Austria","CPNCU","Current prices in NCU","2015","2015","EUR","Euro","0","Units",,,40933.7067355646,,
"AUT","Austria","CPNCU","Current prices in NCU","2016","2016","EUR","Euro","0","Units",,,41928.2730990344,,
"AUT","Austria","CPNCU","Current prices in NCU","2017","2017","EUR","Euro","0","Units",,,42636.1276238586,,
"AUT","Austria","CPNCU","Current prices in NCU","2018","2018","EUR","Euro","0","Units",,,43634.3373634915,,
"AUT","Austria","CPNCU","Current prices in NCU","2019","2019","EUR","Euro","0","Units",,,44688.8328381768,,
"BEL","Belgium","CPNCU","Current prices in NCU","2000","2000","EUR","Euro","0","Units",,,31029.8742620019,,
"BEL","Belgium","CPNCU","Current prices in NCU","2001","2001","EUR","Euro","0","Units",,,31849.4307123348,,
"BEL","Belgium","CPNCU","Current prices in NCU","2002","2002","EUR","Euro","0","Units",,,33175.1755094033,,
"BEL","Belgium","CPNCU","Current prices in NCU","2003","2003","EUR","Euro","0","Units",,,33868.7464142708,,
"BEL","Belgium","CPNCU","Current prices in NCU","2004","2004","EUR","Euro","0","Units",,,34535.7769581422,,
"BEL","Belgium","CPNCU","Current prices in NCU","2005","2005","EUR","Euro","0","Units",,,35190.4526388106,,
"BEL","Belgium","CPNCU","Current prices in NCU","2006","2006","EUR","Euro","0","Units",,,36408.400213539,,
"BEL","Belgium","CPNCU","Current prices in NCU","2007","2007","EUR","Euro","0","Units",,,37319.3613554085,,
"BEL","Belgium","CPNCU","Current prices in NCU","2008","2008","EUR","Euro","0","Units",,,38654.7429247294,,
"BEL","Belgium","CPNCU","Current prices in NCU","2009","2009","EUR","Euro","0","Units",,,38865.5805043394,,
"BEL","Belgium","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","Units",,,39429.0357798708,,
"BEL","Belgium","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","Units",,,40967.8087695506,,
"BEL","Belgium","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","Units",,,42111.9556518433,,
"BEL","Belgium","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","Units",,,42990.5225955954,,
