"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LCEAMN01_IXOB","Manufacturing, Index","AUT","Austria","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",106.4865,,
"LCEAMN01_IXOB","Manufacturing, Index","AUT","Austria","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",109.0747,,
"LCEAMN01_IXOB","Manufacturing, Index","AUT","Austria","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",108.6447,,
"LCEAMN01_IXOB","Manufacturing, Index","BEL","Belgium","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",104.8253,,
"LCEAMN01_IXOB","Manufacturing, Index","BEL","Belgium","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",107.6401,,
"LCEAMN01_IXOB","Manufacturing, Index","BEL","Belgium","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",109.4496,,
"LCEAMN01_IXOB","Manufacturing, Index","CAN","Canada","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",103.406,,
"LCEAMN01_IXOB","Manufacturing, Index","CAN","Canada","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",106.5909,,
"LCEAMN01_IXOB","Manufacturing, Index","CAN","Canada","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",109.8881,,
"LCEAMN01_IXOB","Manufacturing, Index","CZE","Czech Republic","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",119.7721,,
"LCEAMN01_IXOB","Manufacturing, Index","CZE","Czech Republic","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",126.1143,,
"LCEAMN01_IXOB","Manufacturing, Index","CZE","Czech Republic","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",126.8761,,
