"LFS_COUNTRY","Country","PROG","Programmes","MEAS","Measure","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","10","PES and administration","EXP","Public expenditure, national currency units","A","Annual","2004","2004",2024.537826,,
"AUS","Australia","10","PES and administration","EXP","Public expenditure, national currency units","A","Annual","2005","2005",2080.493422,,
"AUS","Australia","10","PES and administration","EXP","Public expenditure, national currency units","A","Annual","2006","2006",2041.485988,,
"AUS","Australia","10","PES and administration","EXP","Public expenditure, national currency units","A","Annual","2007","2007",1978.965794,,
"AUS","Australia","10","PES and administration","EXP","Public expenditure, national currency units","A","Annual","2008","2008",1987.016225,,
"AUS","Australia","10","PES and administration","EXP","Public expenditure, national currency units","A","Annual","2009","2009",2501.01007,,
"AUS","Australia","10","PES and administration","EXP","Public expenditure, national currency units","A","Annual","2010","2010",2618.654973,,
"AUS","Australia","10","PES and administration","EXP","Public expenditure, national currency units","A","Annual","2011","2011",2573.620076,,
"AUS","Australia","10","PES and administration","EXP","Public expenditure, national currency units","A","Annual","2012","2012",2435.967,,
"AUS","Australia","10","PES and administration","EXP","Public expenditure, national currency units","A","Annual","2013","2013",2461.058625,,
"AUS","Australia","10","PES and administration","EXP","Public expenditure, national currency units","A","Annual","2014","2014",2737.888625,,
"AUS","Australia","10","PES and administration","EXP","Public expenditure, national currency units","A","Annual","2015","2015",2369.830208,,
"AUS","Australia","10","PES and administration","EXP","Public expenditure, national currency units","A","Annual","2016","2016",2593.904917,,
"AUS","Australia","10","PES and administration","EXP","Public expenditure, national currency units","A","Annual","2017","2017",2761.434833,,
"AUS","Australia","10","PES and administration","EXP","Public expenditure, national currency units","A","Annual","2018","2018",2753.41225,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",0.22,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0.21,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0.19,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0.17,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0.16,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0.19,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2010","2010",0.18,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2011","2011",0.17,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2012","2012",0.16,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2013","2013",0.15,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2014","2014",0.17,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2015","2015",0.14,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2016","2016",0.15,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2017","2017",0.15,,
"AUS","Australia","10","PES and administration","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2018","2018",0.14,,
"AUS","Australia","20","Training","EXP","Public expenditure, national currency units","A","Annual","2004","2004",93.157,,
"AUS","Australia","20","Training","EXP","Public expenditure, national currency units","A","Annual","2005","2005",94.930287,,
"AUS","Australia","20","Training","EXP","Public expenditure, national currency units","A","Annual","2006","2006",74.874747,,
"AUS","Australia","20","Training","EXP","Public expenditure, national currency units","A","Annual","2007","2007",108.4600669,,
"AUS","Australia","20","Training","EXP","Public expenditure, national currency units","A","Annual","2008","2008",386.7031395,,
"AUS","Australia","20","Training","EXP","Public expenditure, national currency units","A","Annual","2009","2009",347.9878996,,
"AUS","Australia","20","Training","EXP","Public expenditure, national currency units","A","Annual","2010","2010",347.603842,,
"AUS","Australia","20","Training","EXP","Public expenditure, national currency units","A","Annual","2011","2011",367.844307,,
