"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","MEAN","Mean","2000","2000","RATIO","Ratio","0","Units",,,0.499,,
"AUS","Australia","MEAN","Mean","2001","2001","RATIO","Ratio","0","Units",,,0.495,,
"AUS","Australia","MEAN","Mean","2002","2002","RATIO","Ratio","0","Units",,,0.5,,
"AUS","Australia","MEAN","Mean","2003","2003","RATIO","Ratio","0","Units",,,0.498,,
"AUS","Australia","MEAN","Mean","2004","2004","RATIO","Ratio","0","Units",,,0.502,,
"AUS","Australia","MEAN","Mean","2005","2005","RATIO","Ratio","0","Units",,,0.494,,
"AUS","Australia","MEAN","Mean","2006","2006","RATIO","Ratio","0","Units",,,0.463,,
"AUS","Australia","MEAN","Mean","2007","2007","RATIO","Ratio","0","Units",,,0.454,,
"AUS","Australia","MEAN","Mean","2008","2008","RATIO","Ratio","0","Units",,,0.45,,
"AUS","Australia","MEAN","Mean","2009","2009","RATIO","Ratio","0","Units",,,0.446,,
"AUS","Australia","MEAN","Mean","2010","2010","RATIO","Ratio","0","Units",,,0.451,,
"AUS","Australia","MEAN","Mean","2011","2011","RATIO","Ratio","0","Units",,,0.451,,
"AUS","Australia","MEAN","Mean","2012","2012","RATIO","Ratio","0","Units",,,0.44,,
"AUS","Australia","MEAN","Mean","2013","2013","RATIO","Ratio","0","Units",,,0.437,,
"AUS","Australia","MEAN","Mean","2014","2014","RATIO","Ratio","0","Units",,,0.436,,
"AUS","Australia","MEAN","Mean","2015","2015","RATIO","Ratio","0","Units",,,0.444,,
"AUS","Australia","MEAN","Mean","2016","2016","RATIO","Ratio","0","Units",,,0.473,,
"AUS","Australia","MEAN","Mean","2017","2017","RATIO","Ratio","0","Units",,,0.474,,
"AUS","Australia","MEAN","Mean","2018","2018","RATIO","Ratio","0","Units",,,0.472,,
"AUS","Australia","MEAN","Mean","2019","2019","RATIO","Ratio","0","Units",,,0.474,,
"BEL","Belgium","MEAN","Mean","2000","2000","RATIO","Ratio","0","Units",,,0.428,,
"BEL","Belgium","MEAN","Mean","2001","2001","RATIO","Ratio","0","Units",,,0.421,,
"BEL","Belgium","MEAN","Mean","2002","2002","RATIO","Ratio","0","Units",,,0.425,,
"BEL","Belgium","MEAN","Mean","2003","2003","RATIO","Ratio","0","Units",,,0.421,,
