"REGION","Region","TYPE","Type","SKILLS","Skills","TIME","Time","Value","Flag Codes","Flags"
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1A1","Oral Comprehension","2015","2015",0.456,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1A2","Written Comprehension","2015","2015",0.659,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1A3","Oral Expression","2015","2015",0.486,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1A4","Written Expression","2015","2015",0.724,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1A","Verbal Abilities","2015","2015",0.581,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1B1","Fluency of Ideas","2015","2015",0.559,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1B2","Originality","2015","2015",0.512,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1B3","Problem Sensitivity","2015","2015",0.538,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1B4","Deductive Reasoning","2015","2015",0.643,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1B5","Inductive Reasoning","2015","2015",0.546,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1B6","Information Ordering","2015","2015",0.388,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1B7","Category Flexibility","2015","2015",0.336,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1B","Reasoning Abilities","2015","2015",0.503,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1C1","Mathematical Reasoning","2015","2015",0.587,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1C2","Number Facility","2015","2015",0.508,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1C","Quantitative Abilities","2015","2015",0.547,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1D1","Memorization","2015","2015",0.221,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1D","Memory","2015","2015",0.221,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1E1","Speed of Closure","2015","2015",0.256,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1E2","Flexibility of Closure","2015","2015",0.271,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1E3","Perceptual Speed","2015","2015",0.12,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1E","Perceptual Abilities","2015","2015",0.215,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1F1","Spatial Orientation","2015","2015",-0.138,,
