"LOCATION","Country","TYPE","Type","SKILLS","Skills","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","AB","Abilities","1A1A1","Oral Comprehension","2015","2015",0.246,,
"AUS","Australia","AB","Abilities","1A1A2","Written Comprehension","2015","2015",0.257,,
"AUS","Australia","AB","Abilities","1A1A3","Oral Expression","2015","2015",0.284,,
"AUS","Australia","AB","Abilities","1A1A4","Written Expression","2015","2015",0.277,,
"AUS","Australia","AB","Abilities","1A1A","Verbal Abilities","2015","2015",0.266,,
"AUS","Australia","AB","Abilities","1A1B1","Fluency of Ideas","2015","2015",0.237,,
"AUS","Australia","AB","Abilities","1A1B2","Originality","2015","2015",0.262,,
"AUS","Australia","AB","Abilities","1A1B3","Problem Sensitivity","2015","2015",0.292,,
"AUS","Australia","AB","Abilities","1A1B4","Deductive Reasoning","2015","2015",0.258,,
"AUS","Australia","AB","Abilities","1A1B5","Inductive Reasoning","2015","2015",0.268,,
"AUS","Australia","AB","Abilities","1A1B6","Information Ordering","2015","2015",0.179,,
"AUS","Australia","AB","Abilities","1A1B7","Category Flexibility","2015","2015",0.127,,
"AUS","Australia","AB","Abilities","1A1B","Reasoning Abilities","2015","2015",0.232,,
"AUS","Australia","AB","Abilities","1A1C1","Mathematical Reasoning","2015","2015",0.14,,
"AUS","Australia","AB","Abilities","1A1C2","Number Facility","2015","2015",0.12,,
"AUS","Australia","AB","Abilities","1A1C","Quantitative Abilities","2015","2015",0.13,,
"AUS","Australia","AB","Abilities","1A1D1","Memorization","2015","2015",0.161,,
"AUS","Australia","AB","Abilities","1A1D","Memory","2015","2015",0.161,,
"AUS","Australia","AB","Abilities","1A1E1","Speed of Closure","2015","2015",0.158,,
"AUS","Australia","AB","Abilities","1A1E2","Flexibility of Closure","2015","2015",0.148,,
"AUS","Australia","AB","Abilities","1A1E3","Perceptual Speed","2015","2015",0.081,,
"AUS","Australia","AB","Abilities","1A1E","Perceptual Abilities","2015","2015",0.129,,
"AUS","Australia","AB","Abilities","1A1F1","Spatial Orientation","2015","2015",0.031,,
"AUS","Australia","AB","Abilities","1A1F2","Visualization","2015","2015",0.112,,
"AUS","Australia","AB","Abilities","1A1F","Spatial Abilities","2015","2015",0.072,,
"AUS","Australia","AB","Abilities","1A1G1","Selective Attention","2015","2015",0.115,,
"AUS","Australia","AB","Abilities","1A1G2","Time Sharing","2015","2015",0.119,,
"AUS","Australia","AB","Abilities","1A1G","Attentiveness","2015","2015",0.117,,
"AUS","Australia","AB","Abilities","1A1","Cognitive Abilities","2015","2015",0.184,,
"AUS","Australia","AB","Abilities","1A2A1","Arm-Hand Steadiness","2015","2015",-0.065,,
"AUS","Australia","AB","Abilities","1A2A2","Manual Dexterity","2015","2015",-0.107,,
"AUS","Australia","AB","Abilities","1A2A3","Finger Dexterity","2015","2015",-0.004,,
"AUS","Australia","AB","Abilities","1A2A","Fine Manipulative Abilities","2015","2015",-0.059,,
"AUS","Australia","AB","Abilities","1A2B1","Control Precision","2015","2015",-0.085,,
"AUS","Australia","AB","Abilities","1A2B2","Multilimb Coordination","2015","2015",-0.079,,
"AUS","Australia","AB","Abilities","1A2B3","Response Orientation","2015","2015",0.012,,
"AUS","Australia","AB","Abilities","1A2B4","Rate Control","2015","2015",-0.041,,
"AUS","Australia","AB","Abilities","1A2B","Control Movement Abilities","2015","2015",-0.048,,
"AUS","Australia","AB","Abilities","1A2C1","Reaction Time","2015","2015",-0.008,,
"AUS","Australia","AB","Abilities","1A2C2","Wrist-Finger Speed","2015","2015",-0.024,,
"AUS","Australia","AB","Abilities","1A2C3","Speed of Limb Movement","2015","2015",0,,
"AUS","Australia","AB","Abilities","1A2C","Reaction Time and Speed Abilities","2015","2015",-0.011,,
"AUS","Australia","AB","Abilities","1A2","Psychomotor Abilities","2015","2015",-0.04,,
"AUS","Australia","AB","Abilities","1A3A1","Static Strength","2015","2015",-0.084,,
"AUS","Australia","AB","Abilities","1A3A2","Explosive Strength","2015","2015",0.012,,
"AUS","Australia","AB","Abilities","1A3A3","Dynamic Strength","2015","2015",-0.045,,
"AUS","Australia","AB","Abilities","1A3A4","Trunk Strength","2015","2015",-0.035,,
"AUS","Australia","AB","Abilities","1A3A","Physical Strength","2015","2015",-0.038,,
"AUS","Australia","AB","Abilities","1A3B1","Stamina","2015","2015",-0.023,,
"AUS","Australia","AB","Abilities","1A3B","Endurance","2015","2015",-0.023,,
"AUS","Australia","AB","Abilities","1A3C1","Extent Flexibility","2015","2015",-0.06,,
"AUS","Australia","AB","Abilities","1A3C2","Dynamic Flexibility","2015","2015",-0.004,,
"AUS","Australia","AB","Abilities","1A3C3","Gross Body Coordination","2015","2015",-0.012,,
"AUS","Australia","AB","Abilities","1A3C4","Gross Body Equilibrium","2015","2015",0.027,,
"AUS","Australia","AB","Abilities","1A3C","Flexibility, Balance and Coordination","2015","2015",-0.012,,
"AUS","Australia","AB","Abilities","1A3","Strength and Flexibility","2015","2015",-0.025,,
"AUS","Australia","AB","Abilities","1A4A1","Near Vision","2015","2015",0.13,,
"AUS","Australia","AB","Abilities","1A4A2","Far Vision","2015","2015",0.149,,
"AUS","Australia","AB","Abilities","1A4A3","Visual Color Discrimination","2015","2015",0.074,,
"AUS","Australia","AB","Abilities","1A4A4","Night Vision","2015","2015",0.022,,
"AUS","Australia","AB","Abilities","1A4A5","Peripheral Vision","2015","2015",0.02,,
"AUS","Australia","AB","Abilities","1A4A6","Depth Perception","2015","2015",-0.011,,
"AUS","Australia","AB","Abilities","1A4A7","Glare Sensitivity","2015","2015",0.012,,
"AUS","Australia","AB","Abilities","1A4A","Visual Abilities","2015","2015",0.057,,
"AUS","Australia","AB","Abilities","1A4B1","Hearing Sensitivity","2015","2015",0.07,,
"AUS","Australia","AB","Abilities","1A4B2","Auditory Attention","2015","2015",0.041,,
"AUS","Australia","AB","Abilities","1A4B3","Sound Localization","2015","2015",0.032,,
"AUS","Australia","AB","Abilities","1A4B4","Speech Recognition","2015","2015",0.161,,
"AUS","Australia","AB","Abilities","1A4B5","Speech Clarity","2015","2015",0.217,,
